2023-12-09 15:34:09,908 [Test worker] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-12-09 15:34:10,258 [Test worker] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
2023-12-09 15:34:10,443 [Test worker] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2023-12-09 15:34:10,878 [Test worker] INFO  o.s.b.w.e.netty.NettyWebServer - Netty started on port 59869
2023-12-09 15:34:10,911 [Test worker] INFO  c.s.s.d.g.m.s.s.s.SalesClientServiceImplTest - Started SalesClientServiceImplTest in 8.548 seconds (process running for 24.758)
2023-12-09 15:34:11,786 [Test worker] WARN  o.s.c.c.w.WireMockTestExecutionListener - You've used fixed ports for WireMock setup - will mark context as dirty. Please use random ports, as much as possible. Your tests will be faster and more reliable and this warning will go away
2023-12-09 15:57:04,646 [Test worker] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-12-09 15:57:05,497 [Test worker] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
2023-12-09 15:57:05,605 [Test worker] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2023-12-09 15:57:06,118 [Test worker] INFO  o.s.b.w.e.netty.NettyWebServer - Netty started on port 60250
2023-12-09 15:57:06,153 [Test worker] INFO  c.s.s.d.g.m.s.s.s.SalesClientServiceImplTest - Started SalesClientServiceImplTest in 9.255 seconds (process running for 26.326)
2023-12-09 15:57:07,380 [Test worker] WARN  o.s.c.c.w.WireMockTestExecutionListener - You've used fixed ports for WireMock setup - will mark context as dirty. Please use random ports, as much as possible. Your tests will be faster and more reliable and this warning will go away
